Título,Texto,Upvotes,Comentarios,Sentimiento,Puntaje Sentimiento
Cuál es tu edad y tu problema PRINCIPAL el día de hoy?,"Sea de dónde seas, cuál es el problema que cuando te vas a dormir todavía lo tenés en la cabeza dando vueltas.

Y la edad para saber si la vida está siendo justo con vos al tiempo que vas vivo.

Capaz alguien ofrece una solución y podes ahorrarte varios quilombos.

PD: si no les jode, pongan su famoso arribavoto para que más gente comenté su experiencia.

#Edit:
#Gracias a los que comentan y a los que están dispuestos a ayudar a otros, cómo buena acción del día está más que bien para ayudar al que menos tiene o arrimar una posible solución al problema, es humano.
-

Leí al menos el 85% de lo que dejaron y si, el tema económico es bastante jodido
-
Dicho esto, el próximo post veo si lo oriento a este lado para ver qué podemos hacer entre todos.",785,1459,Negativo,-0.296
"""Todo acto de violencia será denunciado por sedición y atentado contra el orden constitucional""",,724,434,Neutral,0.0
Tomo 40 años tomar está foto pero se logró! Ahora que haya justicia por el asesinato de Camarena!,,1287,220,Neutral,0.0
"Asesinan a balazos a “El Tiburón Medina”, sujeto que en el 2023 se viralizo por atacar brutalmente a un joven en un Subway de #SLP. El ataque ocurrió al exterior de su gimnasio en la colonia General I. Martínez",La nota completa aquí: https://www.codigosanluis.com/ejecutan-tiburon-medina-subway/,2447,488,Neutral,0.0
"La Casa Blanca acusa al gobierno de México que hoy encabeza la presidenta Claudia Sheinbaum de tener ""intolerables alianzas"" con el crimen organizado.",,841,436,Neutral,0.0
Reprobé el examen de conducir por esto,"Hoy en la mañana di mi examen practico en Viña del Mar para obtener la licencia básica clase B, y en esta esquina cometí mi única falta. 

Me detuve en la línea de detención del suelo, que queda un poco más adelante del disco pare y el instructor me reprobó en el acto. Me dijo que debía detenerme frente al disco pare y no en la línea. Encima hay un auto estacionado ahí. Le pregunté si estaba mal detenerse en la línea del suelo y me dijo que sí, que la leí dice frente al disco no en la línea de la calle.

Gente de reddit ¿Esto realmente es así? Según yo si hay una línea de detención en el suelo, ahí es donde uno debe detenerse y no antes, sentí bien sospechosa la reprobación  la verdad. 

El evaluador no pudo anotar nada más sobre mi conducción porque me preocupe de hacer todo bien: señalice bien, tuve cuidado con la velocidad, me estacioné bien, hice caso a todas las señales, etc.

Pero cuando estaba a punto de terminar el examen me mandó  a esta esquina y me reprobó de inmediato. Lo sentí medio forzado y me dejó triste.",810,404,Negativo,-0.7783
Porque los mexicanos se indignan/enojan mas por lo que hacen los famosos o por el futbol que por los campos de exterminio que se han estado encontrando en el pais?,"Creo que la respuesta es que mis compatriotas son en su mayoria puro imbecíl. Pero pienso que es una respuesta simplista.    
  
Entonces, que pasa? Porque no causa esto tanta indignacion como por ejemplo la vida amorosa del cantante Cristian Nodal o el programa de tv de La casa de famosos?",750,290,Negativo,-0.4098
¿Por qué no conviene hablar de más en el laburo?,"El otro día vi un video en instagram (capas alguno lo vio, es un flaco cordobes caminando) que decía algo que me hizo ruido porque es 100% cierto:

>*“Si sos nuevo en un trabajo o empezás ahora en estos días, te fue re bien en la entrevista, les caíste muy bien a tus empleadores... Bueno, tené en cuenta este consejo que te va a salvar: no hables de más. No te largues a contarles nada a nadie allá adentro. Cuando ya estés ahí, cállate, seguí las instrucciones y fijate cómo se mueve todo ahí. Si alguien te parece piola el primer día, no les des el Instagram, ni ninguna red social. Es más, no las tenés. Hay que saber jugar el juego: escuchar, prestar atención, mirar el entorno. Nada de contar sueños, proyectos, cosas que hacés. Nada, absolutamente nada.”*

Y posta que es así. En los laburos la gente no es tu amiga, aunque al principio se te hagan los copados. Vos caés en la buena onda, tratás de ser amable, pero al final te terminan usando o agarrando de gil. A la mayoría le chupa un huevo quién sos, lo que hacés o lo que te gusta. Cuanto menos sepan de vos, mejor.

Yo antes no le daba bola a esto, pensaba que era exagerado, pero con el tiempo me di cuenta de que en los laburos la mayoría son carneros, alcahuetes o falsos. Si encontrás UNO que sea buena gente, con toda la suerte. Pero si no, te toca bancarte el ambiente sin confiar en nadie.

¿Qué opinan? ¿A alguno le pasó esto? ¿Metieron la pata por hablar de más? ¿Cómo se manejan en los laburos? Los leo.",724,370,Negativo,-0.9593
"Hasta ahora, hay 112 denuncias penales en la Justicia Federal por el caso de la criptomoneda promocionada por Javier Milei",,483,650,Neutral,0.0
"Así duermen los pacientes en el Hospital Durand porque no andan los aires acondicionados. Las temperaturas en las habitaciones son de entre 35 y 40 °C. Trabajadores denuncian que no hay inversión, controles, ni mantenimiento de los equipos. Sí funciona el aire en el quirófano.",,1015,230,Negativo,-0.5267
"r/worldnews elimina la nota de La Nación que informa sobre las cifras oficiales de pobreza publicadas por el INDEC y lo reetiqueta como ""Opinión/Análisis"".",,810,193,Neutral,0.0
El doble estándar de hoy,,1748,239,Neutral,0.0
"Un día como hoy, aparecía muerto en su departamento el fiscal encargado de la UFI-AMIA. Quizás el fiscal con la tarea más importante después de Strassera. ¿Que estabas haciendo cuando te llegó la noticia de su aparición sin vida?",,783,303,Negativo,-0.5574
"Un menor de edad fue hostigado por el chofer y el cobrador de la Ruta 16 en San Rafael Ixtapalucan, Tlahuapan. En el video se observa cómo lo molestan hasta hacerlo llorar y subirlo a la combi.",,819,232,Neutral,0.0
Miren como frenaban las valijas hoy los delincuentes de Intercargo.  El pais con mas hdp por m2 del planeta.,,1300,279,Neutral,0.0
¿Por qué razones el gobierno de México no quiere cerrar la frontera sur?,,831,361,Negativo,-0.296
"Ahora que se está viralizando el cagazo de Milei, les quisiera recordar que hace 3 años, la estafa ""Magenta Capital"" fue promocionada por el Diputado Johannes Kaiser. Hoy, su fundador, Sebastián Hoppe, está formalizado por los delitos de apropiación indebida y estafa",,1008,172,Neutral,0.0
Una piba tiene la entrega de diploma el sábado a las 15 y el padre no quiere ir por el Argentina México,,2431,915,Negativo,-0.296
Que extrañan de méxico antes de que fuese controlado por el narco?,"Estoy pensando en las cosas que quisiera de regreso y en lo que nos ha hecho cambiar nuestra manera de actuar y pensar antes que llegara el narco, ¿qué extrañan ustedes?",359,451,Positivo,0.4137
Juntan firmas para cambiar la imagen de Evita por la de Lionel Messi en el Ministerio de Desarrollo Social,,4057,378,Neutral,0.0
"¿Por qué existe el estereotipo de que los ""zurdos/izquierdistas"" defienden a los criminales?",Es verdad o no?,491,279,Negativo,-0.3736
"2 horas y media retenidos en el avión por decisión de gremialistas, para usarnos en su negociación. Nos quejamos y nos dejaron salir, pero el equipaje en 4horas",,1041,236,Neutral,0.0
"Un hombre se queja por el aumento de su factura de luz, pero cuando la cámara muestra la factura, revela un consumo de 2733 kWh.",,787,426,Neutral,0.0
Así esta el congreso. Cuando gobiernan los K por 4 años: 💤 11 días de Milei: 🤬,,1009,1139,Neutral,0.0
“Yo vote por Boric y desde que vote por usted compañero me ha ido como el ———“,"Entrevista el de un matinal

Yo no vote por Boric y le encuentro razón igual ",475,277,Positivo,0.0516
"Apareció otro firulais encerrado en un auto, fue rescatado por la Policía de la Ciudad y el dueño terminó notificado por infracción a la ley de maltrato animal
",,1109,163,Neutral,0.0
"La Fiscalia de NL informa la detención de *CHRISTIAN ""N""* realizada el día de hoy por detectives de la Agencia Estatal de Investigaciones, quien era buscado por los por hechos de la agresión a una persona de sexo femenino ocurridos en Tamaulipas.","Irving Barrios Mojica, titular de la Fiscalía General de Justicia (FGJ) de Tamaulipas, informó que Christian de Jesús ‘N’, el joven de 24 años de edad buscado por agredir en una fiesta de Halloween a Melanie Barragán, su entonces pareja sentimental, fue detenido en Nuevo León.

Nota completa: https://www.infobae.com/mexico/2024/12/06/detienen-a-christian-n-presunto-agresor-de-melanie-barragan-en-nuevo-leon-no-habra-impunidad/",924,212,Positivo,0.6597
Hoy supe que matrimonio de plata mienten en el fuas para que a su hijo le den gratuidad ,"Me da una lata, hoy supe que un matrimonio (ambos ingenieros) están cuenteando en el fuas para que al hijo le den gratuidad. 
Inventaron que echaron de la casa al hijo y que vive allegado en la misma casa porque no tiene donde irse. Y lo hacen para que le den gratuidad. Ademas, se irán de vacaciones a Europa. O sea, sus vacaciones pretenden que sean pagadas con la gratuidad. Les dije que eran carepalo y se enojaron. 
Era para desahogarme, gracias por leer",701,309,Negativo,-0.296
"Bravucón longboardista circulaba por el medio de la calle, discutió con una chica y le golpeó el auto",,1217,545,Neutral,0.0
¡Feliz cumple mi querida Fabiola! Hoy 14 de julio se cumplen 4 años de la foto que marcó un antes y un despues en el gobierno de Alberto Fernandez,,1450,211,Neutral,0.0
"El Gobierno denunciará al titular de la OMS, Tedros Adhanom, ante los tribunales internacionales por ""delito de lesa humanidad"".",,366,428,Neutral,0.0
El Senado rechazó crear una comisión investigadora por el caso de la criptomoneda $LIBRA,,423,318,Neutral,0.0
"Manuel Adorni: ""Hasta hoy la gran mayoría de los presos de Argentina cobraban un salario por estar en la cárcel. Ahora va a ser al revés: todos van a tener que trabajar.""",,905,240,Neutral,0.0
"🛑 Por qué no hay nadie movilizandose y exigiendo respuestas en las calles por el tema de Teuchitlán, el rancho Izaguirre y las escuelas del terror y de exterminio?!","Es increíble que no haya una respuesta ciudadana masiva ante esto. Estamos hablando de personas inocentes que, en busca de trabajo, son secuestradas, torturadas y obligadas a convertirse en sicarios… o ser asesinadas, trata de blancas y hasta casos de pedofilia y canibalismo

Lo peor es que el Estado sigue aplicando su clásico: ""lo estamos revisando"", o peor aún, convierten el tema en un juego político: que si no ocurrió en su mandato, que si la culpa es de AMLO, que si de Alfaro... ¡Eso es completamente irrelevante!

Nos vale madres su maldita perspectiva pública. Lo que queremos son respuestas. Respuestas claras, directas y contundentes sobre la evidente colusión del crimen organizado con el gobierno.

Mientras tanto, las autoridades solo esperan que la indignación se apague y que la gente se olvide, como si esto fuera algo que se puede ignorar. ¡Es una locura que se maneje así!

Este no es un tema menor ni algo que pueda dejarse pasar. Aquí hay un objetivo claro y concreto:
Exigir respuestas inmediatas del Estado.
Exigir explicaciones sobre la evidente complicidad con el crimen organizado.
Exigir quien es responsable por parte del gobierno 

No se trata de marchar por marchar. Esta es una causa con un propósito claro y urgente. No puedo entender cómo no estamos ya en las calles exigiendo justicia.

La mayoría de las marchas que se hacen no tienen objetivos concretos ni pies ni cabeza... ¡Esto sí lo tiene!

Cómo es posible que haya tanta indiferencia ante algo tan grave!!?

Hasta diría que es un tema más grave que Ayotzinapa ",490,221,Negativo,-0.9688
Auditorias: En 2018 la Universidad Madres de Plaza de Mayo recibió un inmueble para fines educativos por parte del Estado. Hoy descubren que fue convertido en un boliche clandestino.,,1092,161,Neutral,0.0
¿Por qué el Mexicano promedio/pocho/chicano compra este tipo de camionetas en USA?,"Me he dado cuenta que los Mexicanos que viven en USA (pochos, chicanos, etc) tienen esa mentalidad de ""tener una camioneta Lobo, F250, Silverado es tener sinónimo de éxito""
.
.
¿De dónde nació esta cultura o está creencia de este tipo de gente? ¿Que han visto ustedes?",336,280,Neutral,0.0
"En Palacio Nacional se ofrecen detalles de ‘OLINIA’ la primera armadora mexicana de mini vehículos eléctricos encabezada por el Gobierno federal, el IPN y el Tecnológico Nacional de México.",,466,325,Neutral,0.0
"para los que preguntan por las demoras en correo argentino, me retuvieron 1 mes dos paquetes  en el centro de distribución, el cual está a 6 cuadras, sin la posibilidad de retirarlo presencialmente. Juntando las otras demoras tradicionales de este medio, cumplí mi record de espera, 132 días.",,545,169,Negativo,-0.5574
La triste realidad de Argentina hoy. El resto es sarasa. ,,315,468,Neutral,0.0
"El cartel de los taxistas en Cancún no comenzó hoy, ni ayer, tampoco le ocurrió solo a Luisito Comunica. Esta red de CO lleva años de denuncias en el estado, no solo tenía que hacerse viral para actuar, realmente es grave el manejo de los servicios y costos, ademas de la violencia que ejercen. ",,1099,118,Negativo,-0.7184
¿Por qué a las mujeres solteras de 30 les molesta que los hombres de su edad tengan relaciones estables con mujeres jóvenes de 20? ¿Por qué el hombre de 30 tiene que pasarse la vida esperando a que las de su edad maduren para recién tener una relación estable? ¿Por qué limitarse en sus opciones?,,163,482,Neutral,0.0
"Soldados libaneses ondeando la bandera de España tras invadir una colina controlada por el ISIS el 19 de Agosto de 2017, 2 días después de los ataques terroristas en Las Ramblas y Cambrils",,753,268,Neutral,0.0
"Despues del intento de cancelacion por parte de la militancia K a la pizzeria El Cuartito porque le hicieron honores a la vicepresidenta, asi estaba ayer, 150m de fila para entrar.",,1168,170,Neutral,0.0
¿Experiencias de Mexicanos en el extranjero/gabacho por los sueldos bajos de Mexico?,,1757,515,Neutral,0.0
Primer día de clases en el interior de Formosa - foto real de hoy antes que pregunten,,1346,273,Neutral,0.0
"Ministro Francos al diputado Del Caño: ""Usted no representa a los trabajadores, esos son 14 millones. El día que usted tenga 14 millones de votos, ese día va a ser Presidente de la República""",,1336,316,Negativo,-0.296
¿Por qué lo echaron a Ramiro Marra de La Libertad Avanza? El Presto contó los motivos,,395,285,Neutral,0.0
Conocen a algún votante de Milei que le haya soltado la mano por el tema crypto?,Porque en las redes/media dicen que es la gota que rebalsó el vaso pero todos los votantes de Milei que conozco irl dicen que les chupa un huevo. Como la ven?,132,773,Neutral,0.0
"La economía de Argentina vuela: el PIB se dispara un 5,7% anualizado y el consumo se recupera por completo.",,198,386,Neutral,0.0
La mayoría de los argentinos creen que el país va por buen camino.,"Según una encuesta, solo el 37% de los argentinos creen que el país va por mal camino.",628,187,Neutral,0.0
"Genaro García Luna, exsecretario de Seguridad Pública, es sentenciado a más de 38 años en prisión por cinco cargos relacionados con el narcotráfico.",,887,189,Neutral,0.0
#UltimaHora Desde el primer minuto de este martes @Telmex / #Triara le cortó a @SEGOB_mx los servicios de correo electrónico por exceso de pago. Debe casi 64 millones de pesos. No pagan desde enero.,,1007,179,Negativo,-0.296
perdón por no estar activo estube en el acontecimiento de sonora México dónde se logró capturar a un malandro grande ofrecieron 10M al teniente por dejarlo libre aún así no pudieron tan solo éramos 12 de infantería contra 34 tuvimos una muerte por parte de nosotros y los demás fueron abatidos ánimo!,,2358,366,Negativo,-0.5707
Moreno: La policía de Kicillof le rompió la cara de un piedrazo a un periodista que cubría las protestas por el repartidor asesinado,,590,177,Neutral,0.0
La desesperación de una conductora que quedó varada dentro de su vehículo por el temporal en Bahia Blanca,,316,264,Neutral,0.0
¿Veríais correcto limitar el número de viviendas por persona?,"En España no paran de subir los precios de las viviendas, y no es algo que vaya a frenarse de aquí a poco.
La situación para adquirir vivienda es muy complicada y más si no se tiene pareja.
Os pongo en situación para poder valorar la pregunta.

Yo gestiono hipotecas y cada día veo más gente ya con vivienda habitual y funcionarios que se aprovechan, compran casas de ""bajo"" importe para alquilar y sacar un rendimiento alto por ese arrendamiento, lo que hace que queden menos viviendas a precios bajos para poder comprar.

¿Veríais normal que se limitase el límite de viviendas por persona a 3? Un matrimonio por ejemplo que como tope tenga 6 viviendas.

(Diríais que es demasiado, pero os sorprenderia la cantidad de personas que tienen más de 5 viviendas en alquiler)

Eso y que a los extranjeros que quieren hacer lo mismo tengan al menos un B1 de español
Ya que tributan sus ingresos fuera de España para luego sacar rentabilidad de españoles.",210,321,Negativo,-0.7149
"La Policía de Santa Clara en EE.UU arrestó a Alejandro García Villanueva, de 29 años, por apuñalar a un aficionado durante el juego entre México y Qatar en el Levi's Stadium.",,1587,332,Neutral,0.0
El Polo Islamico llevó hoy la bandera Palestina 🇵🇸 más grande de la historia.,,706,261,Neutral,0.0
ISRAEL USURPA LA ARGENTINA: Cambian el nombre de la calle Palestina por el nombre de dos ciudadanos israelíes,"La organización sionista Google, a pedido del sionismo argentino, cambió el nombre de la calle sin ningún motivo. Gravísimo.",286,246,Negativo,-0.5574
"@CFKArgentina
 Yo sé que vos de economía no entendes mucho, demostrado por el hecho de que te rodeaste de analfabetos anuméricos que destruyeron el país con su chamanismo económico, pero si querés aprender un poco prende la tele hoy a las 19hs que voy a estar dándote una clase particular ad honore",,622,309,Negativo,-0.296
"Boxeadora mexicana denuncia al equipo femenino de softbol, el cual dejó tirado el uniforme mexicano en la basura en la Villa Olímpica.",,2179,706,Neutral,0.0
¿Por qué Argentina adopta el huso horario GMT-3 en lugar de GMT-4?,,492,230,Neutral,0.0
¿Es justo el sueldo de los vocales de mesa? 28 lucas por más de 18 horas de trabajo.,"En Chile, el sueldo mínimo es   $500.000 CLP, lo que equivale aproximadamente a $2.887 CLP por hora para un trabajador de jornada completa (40 horas semanales). Sin embargo, el pago que recibimos los vocales de mesa en elecciones es de $28.432 CLP por día, independientemente de la cantidad de horas trabajadas.

El primer día (sábado) trabajé 11.5 horas (entré a las 7:30 y salí como a las 19hras) lo que equivale a un pago de $2.473 CLP por hora, ya por debajo del mínimo. Un trabajador normal por eso gana $428.617 pesos.  
  
 El domingo trabajé 18.5 horas (entré a las 7:30 y salí a las 2:00 del día siguiente), lo que significa que me pagaron solo $1.537 CLP por hora. Es como si me pagaran 266.208 CLP  
  
 En total, recibimos $56.864 CLP por ambos días($28.432 CLP por día), cuando, ajustado al sueldo mínimo, deberíamos haber ganado alrededor de $86.611 CLP. ($33.201 CLP el sábado y $53.410 CLP el domingo)



Lo que es por mí, redactaré algo para la segunda vuelta e imprimiré documentos con esta información para pasarle a las otras mesas, y que me firmen y pedir contacto para hacer un grupo para alegar, puesto que no es la primera vez que saldremos vocales de mesas y por que puta encuentro injusto que les paguen 28 lucas por 18 horas de trabajo.

Haciendo el calculo si somos 200.070 vocales de mesa en todo Chile, el Estado se ahorra: $5.9.51.482.290 CLP en mano de obra barata. Mientras que pagarle a los politicos que les estuvimos contando los votos hasta las 2 de la mañana tendrán sueldos millonario. (considerando que el calculo solo lo hice con el sueldo minimo de 500.000 CLP)

Ante esta diferencia significativa, ¿creen que los vocales de mesa deberían recibir un pago acorde al sueldo mínimo por las horas trabajadas? ¿Qué medidas podríamos tomar para solicitar un cambio en las condiciones de pago de los vocales de mesa? ¿Alguien ha experimentado lo mismo en otros países?   
  
¡Me gustaría escuchar opiniones, experiencias y posibles soluciones!",427,383,Negativo,-0.686
Romina Manguel indignada por qué el dueño anterior de su auto le dio de baja al telepase.,Tiene que ser bait esto.,488,196,Neutral,0.0
"El curioso significado de ‘ahorita´ en México, visto por un extranjero.","Siendo francés y viviendo feliz en este bello país, me acuerdo de que uno de mis primeros choques culturales en México fue aprender que “ahorita” no significa lo que parece.

Si algún extranjero que se quiere venir a vivir a México me lee, debe saber que el uso de “ahorita” no es solo un tema de lenguaje; es un reflejo de una filosofía de vida. En Francia, si alguien dice que algo sucederá en cinco minutos, esos cinco minutos son casi sagrados. La mitad de mi familia vive en Alemania y allá, si tienes que estar a las 5PM, llegas a las 4.40PM 💁‍♂️ En México, el tiempo tiene una cualidad mágica, maleable, que se adapta a las circunstancias, al humor del momento y, a veces, a la mera conveniencia de cada persona. Es una lección de paciencia para cualquier extranjero que llega con expectativas de puntualidad estricta.

Pero hay algo chingón (una de mis palabras favoritas aquí) en eso : A lo largo de los años, he aprendido a identificar las diferentes tonalidades de “ahorita”.

Por ejemplo:

➖ Ahorita inmediato: Esto ocurre raramente, pero sí existe. Debo tener no más de 4 o 5 amigos que usan este ´ahorita´.

➖ Ahorita, pero más bien en un rato: Generalmente, significa que sucederá después de que terminen algo más importante, como encontrar las fuerzas suficientes para levantarse de la cama. Este ahorita puede durar de 30 minutos a varias horas.

➖ Ahorita = nunca: Es un ahorita diplomático, una forma educada de decir que no va a pasar nada pero no te lo quiere decir realmente. Lo importante aquí es el tono de voz y la falta de detalles adicionales, que te permiten entender que mejor busca de otro lado.

Como francés que pasó tiempo en Alemania en su juventud, adaptarme a esta percepción del tiempo ha sido uno de los mayores choques culturales de mi vida creo .. pero, siendo completamente sincero, también ha sido una lección valiosa : este “Ahorita” me enseñó a relajarme, a aceptar que no todo tiene que suceder en el instante que lo espero y, sobre todo, a disfrutar del momento presente, y si algo tiene que pasar, pasará ( pero no ahorita ).

¿A ustedes también les paso?",783,144,Negativo,-0.7579
¿Alguien de este sub me podrá explicar por qué el único bloque que votó en contra de la boleta única de papel fue el Kirchnerismo?,,433,405,Neutral,0.0
"MEXICANOS DEPORTADOS POR TRUMP RECIBIRÁN TARJETA DE 2 MIL PESOS Y SERÁN INSCRITOS EN EL IMSS El gobierno de Sheinbaum presentó ""México te abraza"", la estrategia para recibir a los migrantes que sean deportados por Trump.","MEXICANOS DEPORTADOS POR TRUMP RECIBIRÁN TARJETA DE 2 MIL PESOS Y SERÁN INSCRITOS EN EL IMSS

El gobierno de Sheinbaum presentó ""México te abraza"", la estrategia para recibir a los migrantes que sean deportados por Trump.

Rosa Icela Rodríguez anunció que cada persona repatriada recibirá una Tarjeta Bienestar Paisano con 2 mil pesos para ayudarles a costear su traslado a casa.

Además, serán inscritos en programas sociales como la pensión para adultos mayores, apoyos a madres trabajadoras y Sembrando Vida. 

También el IMSS los afiliará para que tengan acceso a atención médica, guarderías y seguro de retiro.",340,281,Neutral,0.0
Por probabilidad alguna de las novias perderá el bebé,,1553,41,Neutral,0.0
El Señor de... ok! Mucho isekai por hoy,"Faltaron las versiones de Merry, Pippin y Boromir... no puedo imaginar a Sauron.",1001,71,Positivo,0.5848
Quien Será el próximo president@ de chile ? por quién votaras ?!,,169,412,Neutral,0.0
"Tal día como hoy, hace 89 años el Frente Popular gana las elecciones por amplió margen ante la incredulidad de las derechas","Tenía resumido un ensayo sacado de las fuentes que proporciona David Cot en sus vídeos, pero como no quiero volver a correr riesgos de que se me llame plagiador por leer los mismos libros y sacar las mismas conclusiones pues dejo el vídeo citado en comentarios y por mi parte es la última vez que tocaré algo sobre la España contemporánea e intentaré traer mas cosas sobre la Unión Soviética.

Espero que tengan un agradable domingo.",427,187,Positivo,0.1531
Hoy da un poco más de vergüenza ser español. Cazar el lobo vuelve a ser legal.,"[https://elpais.com/clima-y-medio-ambiente/2025-03-20/el-congreso-aprueba-que-el-lobo-se-vuelva-a-cazar-al-norte-del-duero.html](https://elpais.com/clima-y-medio-ambiente/2025-03-20/el-congreso-aprueba-que-el-lobo-se-vuelva-a-cazar-al-norte-del-duero.html)

  
Los cazadores y asociaciones de caza diciendo que es bueno para el medioambiente, los ganaderos diciendo que sufren ataques a todas horas y a cualquier hora del día, todo el tiempo y los políticos vendiéndose a cambio de votos rápidos.

Que asco.",315,201,Positivo,0.128
No entiendo el fanatismo por equipos de fútbol,"O sea, entiendo el gusto por el fútbol como por cualquier deporte, de hecho disfruto caleta ver fútbol. Pero siempre he tenido la genuina pregunta de, cuando les gusta un equipo, qué les gusta? Es solo tradición familiar? Es seguimiento de la carrera de los jugadores? Es el ""concepto"" o los ""principios"" del equipo? (Si es que eso existe siquiera).

En mi familia más cercana nunca han sido demasiado futboleros, pero tengo primos que, si pierde Colo-Colo, no comen, no se levantan, es literalmente un mini cuadro depresivo solo porque 11 compadres que no saben de su existencia perdieron un partido. 11 compadres que ni siquiera van a ser los mismos 11 compadres el año que viene. No lo entiendo.

He escuchado muchas veces el argumento de ""mi abuelo era de [EQUIPO], él llevaba a mi papá al estadio y mi papá a mí. Por eso yo soy de [EQUIPO], está en mi familia "". Y creo que eso sí lo entiendo, como panorama familiar heredado, pero... Siento que ese argumento se agota rápido como para defender al equipo en sí. Puede defender el gusto y el fanatismo, pero no sé si al club como un todo?

Se suma a mi confusión el seguimiento religioso y casi chovinista por cada equipo. Hay gente en mi pega que se ha llevado bien por mucho tiempo hasta que se enteran de que son de equipos contrarios, y es como si algo se quebrara. No lo entiendo.

Tampoco entiendo el ensalzamiento del pasado de un equipo. Si un equipo logró algo importante hace 40 años, fue el plantel de ESE año el que lo logró. ¿Hay realmente correlación entre ese logro y la calidad del equipo hoy en día? ¿Tiene sentido usarlo de ""argumento"" para defender la elección de tu equipo predilecto? No lo entiendo.

Hasta cierto punto entiendo a la gente de región o de localidades que tienen sus propios equipos. Imagino que en esos sectores los equipos se arman, al menos en su inicio, y en mayor proporción que en equipos más grandes, con gente local, gente que los hinchas (locales también) probablemente hasta conocen personalmente. 

Y por último, si bien no sé absolutamente nada al respecto, siento que el movimiento de los clubes es muy similar al de las empresas. En el papel suena lógico que el club con más plata puede comprarse mejores jugadores y por tanto (supuestamente) tener mejores resultados. E imagino que esa dinámica data de más atrás de lo que yo mismo creo. Entonces, es realmente la calidad del equipo? O es un pay to win? No lo entiendo.

Así que les pregunto a ustedes. ¿Por qué les gusta el equipo qué les gusta?  ¿Es insignificante esta pregunta? Probablemente, puteenme de ser así.

Feliz jueves",405,302,Negativo,-0.8992
"Taxista de Cdmx cobra 700 pesos después de un concierto en el Estadio GNP, por un trayecto de 5 minutos:",,833,85,Neutral,0.0
"No vote a Orsi pero, ¿por qué el resto de países bananeros creen tenerla más clara que nosotros?",,274,443,Negativo,-0.296
"Cabo Guerrero: si por alguna casualidad estás por acá, aprovecha para buscar refugio en Paraguay. Mirá que Bullrich tarde o temprano se va y vas en cana el resto de tu vida amigo",,181,297,Neutral,0.0
"Cambió de género cuando era menor, se arrepintió y volvió a tramitar el DNI de mujer: culpó a sus padres por haberlo permitido",,454,508,Neutral,0.0
"Escándalo en el punk rock: el guitarrista de Flema bancó a Milei en un polémico video y lo echaron por ""diferencias políticas irreconciliables""",,419,192,Neutral,0.0
"Ahora que se está viralizando el cagazo de Milei, les quisiera recordar que hace 3 años, la estafa ""Magenta Capital"" fue promocionada por el Diputado Johannes Kaiser. Hoy, su fundador, Sebastián Hoppe, está formalizado por los delitos de apropiación indebida y estafa",,437,171,Neutral,0.0
"Mujer estadounidense compra un autentico vaso maya en una tienda de segunda mano por solo 4 dólares, el precio del vaso en el mercado de antigüedades seria de varios miles de dólares pero ella decidió repatriarlo a México. ",,1632,67,Neutral,0.0
